date,year,coach,opposition,tournament,test,h / a,ireland irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,2015,js,romania,,,wc,,,,,w,,,,healy,strauss,white,toner,"ryan, d","murphy, j",henry,heaslip,reddan,madigan,earls,cave,payne,bowe,zebo,,,,,,,,
,2015,js,italy,,,wc,,,,,w,,,,mcgrath,best,ross,henderson,o'connell,o'mahony,o'brien,heaslip,murray,sexton,"kearney, d",henshaw,earls,bowe,zebo,,,,,,,,
,2015,js,france,,,wc,,,,,w,,,,healy,best,ross,toner,o'connell,o'mahony,o'brien,heaslip,murray,sexton,"kearney, d",henshaw,earls,bowe,kearney,,,,,,,,
,2015,js,argentina,,,wc,,,,,l,,,,healy,best,ross,henderson,toner,"murphy, j",henry,heaslip,murray,madigan,"kearney, d",henshaw,earls,bowe,kearney,,,,,,,,
,2016,js,wales,,,h,,,,,d,,,,mcgrath,best,white,mccarthy,toner,stander,o'donnell,heaslip,murray,sexton,earls,henshaw,payne,trimble,zebo,,,,,,,,
,2016,js,france,,,a,,,,,l,,,,mcgrath,best,white,mccarthy,toner,stander,o'brien,heaslip,murray,sexton,"kearney, d",henshaw,payne,trimble,kearney,,,,,,,,
,2016,js,england,,,a,,,,,l,,,,mcgrath,best,ross,"ryan, d",toner,stander,van der flier,heaslip,murray,sexton,earls,mccloskey,henshaw,trimble,kearney,,,,,,,,
,2016,js,italy,,,h,,,,,w,,,,mcgrath,best,ross,"ryan, d",toner,stander,van der flier,heaslip,murray,sexton,earls,henshaw,payne,trimble,zebo,,,,,,,,
,2016,js,scotland,,,h,,,,,w,,,,mcgrath,best,ross,"ryan, d",toner,stander,o'donnell,heaslip,murray,sexton,earls,henshaw,payne,trimble,zebo,,,,,,,,
,2016,js,sa,,,a,,,,,w,,,,mcgrath,best,ross,henderson,toner,stander,"murphy, j",heaslip,murray,jackson,earls,marshall,henshaw,trimble,payne,,,,,,,,
,2016,js,sa,,,a,,,,,l,,,,mcgrath,best,furlong,roux,toner,henderson,ruddock,heaslip,murray,jackson,gilroy,olding,henshaw,trimble,payne,,,,,,,,
,2016,js,sa,,,a,,,,,l,,,,mcgrath,best,ross,henderson,toner,stander,"murphy, j",heaslip,murray,jackson,earls,olding,marshall,trimble,o'halloran,,,,,,,,
,2016,js,nz,,,ne,,,,,w,,,,mcgrath,best,furlong,"ryan, d",toner,stander,"murphy, j",heaslip,murray,sexton,zebo,henshaw,payne,trimble,kearney,,,,,,,,
