date,year,coach,opposition,tournament,test,h / a,nz irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10/08/2024,2024,sr,argentina,rc,yes,h,3,7,4,,l,30,38,-8,de groot,taylor,lomax,vaa'i,darry,blackadder,papali'i,"savea, a",perenara,mckenzie,tele'a,"barrett, j",lienert-brown,reece,"barrett, b",aumua,tuungafasi,newell,lord,sititi,ratima,"ioane, r",jordan
17/08/2024,2024,sr,argentina,rc,yes,h,3,6,3,,w,42,10,32,"williams, t",taylor,lomax,vaa'i,darry,blackadder,papali'i,"savea, a",perenara,mckenzie,clarke,"barrett, j","ioane, r",jordan,"barrett, b",aumua,tuungafasi,newell,lord,cane,ratima,lienert-brown,tele'a
31/08/2024,2024,sr,sa,rc,yes,a,3,1,-2,,l,27,31,-4,"williams, t",taylor,lomax,"barrett, s",vaa'i,blackadder,cane,"savea, a",perenara,mckenzie,clarke,"barrett, j","ioane, r",jordan,"barrett, b",aumua,tuungafasi,newell,darry,finau,ratima,lienert-brown,tele'a
07/09/2024,2024,sr,sa,rc,yes,a,3,1,-2,,l,12,18,-6,"williams, t",taylor,lomax,"barrett, s",vaa'i,sititi,cane,"savea, a",ratima,mckenzie,tele'a,"barrett, j","ioane, r",reece,jordan,aumua,tuungafasi,newell,darry,jacobson,perenara,lienert-brown,"barrett, b"
21/09/2024,2024,sr,australia,rc,yes,a,3,9,6,,w,31,28,3,de groot,taylor,lomax,"barrett, s",vaa'i,sititi,cane,"savea, a",ratima,mckenzie,clarke,"barrett, j","ioane, r",reece,jordan,aumua,"williams, t",tosi,darry,jacobson,perenara,lienert-brown,plummer
28/09/2024,2024,sr,australia,rc,yes,h,3,10,7,,w,33,13,20,de groot,taylor,lomax,"barrett, s",vaa'i,sititi,cane,"savea, a",perenara,"barrett, b",clarke,lienert-brown,"ioane, r",reece,jordan,aumua,"williams, t",tosi,tuipulotu,jacobson,ratima,mckenzie,havili
26/10/2024,2024,sr,japan,tour,yes,a,3,14,11,,w,64,19,45,"williams, t",aumua,tosi,darry,tuipulotu,finau,cane,sititi,roigard,mckenzie,tele'a,lienert-brown,"proctor, b",reece,perofeta,bell,tuungafasi,newell,lord,lakai,perenara,havili,love
02/11/2024,2024,sr,england,tour,yes,a,3,5,2,,w,24,22,2,"williams, t",taylor,lomax,"barrett, s",vaa'i,sititi,cane,"savea, a",ratima,"barrett, b",clarke,"barrett, j","ioane, r",tele'a,jordan,aumua,tuungafasi,tosi,tuipulotu,finau,roigard,lienert-brown,mckenzie
08/11/2024,2024,sr,ireland,tour,yes,a,3,1,-2,,w,23,13,10,"williams, t",aumua,lomax,"barrett, s",vaa'i,sititi,cane,"savea, a",ratima,mckenzie,clarke,"barrett, j","ioane, r",tele'a,jordan,bell,tuungafasi,tosi,tuipulotu,finau,roigard,lienert-brown,perofeta
16/11/2024,2024,sr,france,tour,yes,a,2,4,2,,l,29,30,-1,"williams, t",taylor,lomax,"barrett, s",vaa'i,finau,"savea, a",sititi,roigard,"barrett, b",clarke,"barrett, j","ioane, r",reece,jordan,aumua,tuungafasi,tosi,tuipulotu,lakai,ratima,lienert-brown,mckenzie
23/11/2024,2024,sr,italy,tour,yes,a,3,10,7,,w,29,11,18,de groot,taylor,lomax,"barrett, s",tuipulotu,sititi,cane,"savea, a",roigard,"barrett, b",clarke,lienert-brown,"ioane, r",tele'a,jordan,aumua,tuungafasi,newell,vaa'i,lakai,perenara,havili,mckenzie
05/07/2025,2025,sr,france,tour,yes,h,2,4,2,,w,31,27,4,de groot,taylor,newell,"barrett, s",holland,vaa'i,"savea, a",lio-willie,roigard,"barrett, b","ioane, r","barrett, j","proctor, b",reece,jordan,taukei'aho,norris,tosi,finau,kirifi,ratima,tupaea,mckenzie
12/07/2025,2025,sr,france,tour,yes,h,2,4,2,,w,43,17,26,de groot,taylor,newell,tuipulotu,holland,vaa'i,"savea, a",lio-willie,roigard,"barrett, b","ioane, r","barrett, j","proctor, b",narawa,jordan,taukei'aho,norris,tosi,finau,kirifi,ratima,tavatavanawai,mckenzie
19/07/2025,2025,sr,france,tour,yes,h,2,4,2,,w,29,19,10,de groot,taukei'aho,lomax,tuipulotu,holland,finau,kirifi,"savea, a",ratima,mckenzie,reece,tupaea,lienert-brown,jordan,love,mcalister,bower,newell,papali'i,lio-willie,hotham,tavatavanawai,"barrett, j"
