date,opposition,shirt,player,started,minutes
20/10/2019,France,2,Ken Owens,y,80
20/10/2019,France,9,Gareth Davies,y,80
20/10/2019,France,23,Leigh Halfpenny,n,0
20/10/2019,France,19,Adam Beard,n,0
20/10/2019,France,3,Tomas Francis,y,80
20/10/2019,France,10,Dan Biggar,y,80
20/10/2019,France,22,Rhys Patchell,n,0
20/10/2019,France,20,Ross Moriarty,n,53
20/10/2019,France,14,George North,y,80
20/10/2019,France,5,Alun Wyn Jones,y,80
20/10/2019,France,7,Justin Tipuric,y,80
20/10/2019,France,16,Elliot Dee,n,0
20/10/2019,France,13,Owen Watkin,y,80
20/10/2019,France,1,Wyn Jones,y,80
20/10/2019,France,21,Tomos Williams,n,0
20/10/2019,France,17,Rhys Carre,n,0
20/10/2019,France,12,Hadleigh Parkes,y,80
20/10/2019,France,4,Jake Ball,y,80
20/10/2019,France,11,Josh Adams,y,80
20/10/2019,France,8,Josh Navidi,y,27
27/10/2019,South Africa,18,Dillon Lewis,n,45
27/10/2019,South Africa,6,Aaron Wainwright,y,80
27/10/2019,South Africa,2,Ken Owens,y,80
27/10/2019,South Africa,9,Gareth Davies,y,80
27/10/2019,South Africa,15,Leigh Halfpenny,y,80
27/10/2019,South Africa,19,Adam Beard,n,0
27/10/2019,South Africa,3,Tomas Francis,y,35
27/10/2019,South Africa,10,Dan Biggar,y,80
27/10/2019,South Africa,22,Rhys Patchell,n,0
27/10/2019,South Africa,8,Ross Moriarty,y,80
27/10/2019,South Africa,14,George North,y,39
27/10/2019,South Africa,5,Alun Wyn Jones,y,80
27/10/2019,South Africa,13,Jonathan Davies,y,80
27/10/2019,South Africa,7,Justin Tipuric,y,80
27/10/2019,South Africa,16,Elliot Dee,n,0
27/10/2019,South Africa,23,Owen Watkin,n,41
27/10/2019,South Africa,1,Wyn Jones,y,80
27/10/2019,South Africa,21,Tomos Williams,n,0
27/10/2019,South Africa,17,Rhys Carre,n,0
27/10/2019,South Africa,12,Hadleigh Parkes,y,80
27/10/2019,South Africa,4,Jake Ball,y,80
27/10/2019,South Africa,11,Josh Adams,y,80
27/10/2019,South Africa,20,Aaron Shingler,n,0
01/11/2019,New Zealand,3,Dillon Lewis,y,80
