date,year,coach,opposition,tournament,test,h / a,argentina irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
17/07/2021,2021,ml,wales,tour,yes,a,9,7,-2,,w,33,11,22,tetaz chaparro,montoya,gomez kodela,petti,kremer,matera,isa,bruni,cubelli,sanchez,moroni,de la fuente,chocobares,delguy,"carreras, s","bosch, f",gigena,medrano,lavanini,alemanno,"ezcurra, f",miotti,imhoff
14/08/2021,2021,ml,sa,rc,yes,a,7,1,-6,,l,12,32,-20,tetaz chaparro,montoya,gomez kodela,petti,kremer,matera,isa,bruni,"ezcurra, f",sanchez,moroni,de la fuente,chocobares,delguy,"carreras, s","bosch, f",muzzio,medrano,lavanini,alemanno,bertranou,miotti,cancelliere
21/08/2021,2021,ml,sa,rc,yes,a,6,1,-5,,l,10,29,-19,tetaz chaparro,montoya,gomez kodela,alemanno,lavanini,matera,petti,bruni,bertranou,miotti,"carreras, s",de la fuente,chocobares,mendy,mallia,"bosch, f",gigena,medrano,kremer,"gonzalez, ju","ezcurra, f",sanchez,cinti
12/09/2021,2021,ml,nz,rc,yes,a,6,2,-4,,l,0,39,-39,gigena,montoya,medrano,petti,alemanno,matera,kremer,bruni,bertranou,sanchez,"cordero, s",de la fuente,moroni,delguy,mallia,"bosch, f",muzzio,pieretto heiland,lavanini,"gonzalez, ju",garcia,chocobares,boffelli
18/09/2021,2021,ml,nz,rc,yes,a,7,2,-5,,l,13,36,-23,gigena,montoya,medrano,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",boffelli,chocobares,cinti,"cordero, s",mallia,"socino, s",muzzio,pieretto heiland,petti,lezana,garcia,miotti,moroni
25/09/2021,2021,ml,australia,rc,yes,a,7,3,-4,,l,8,27,-19,gigena,montoya,medrano,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",boffelli,chocobares,cinti,"cordero, s",mallia,"socino, s",martinez,pieretto heiland,petti,"oviedo, j",garcia,miotti,"carreras, m"
02/10/2021,2021,ml,australia,rc,yes,a,8,3,-5,,l,17,32,-15,martinez,montoya,pieretto heiland,petti,lavanini,"gonzalez, ju",kremer,bruni,bertranou,"carreras, s",boffelli,chocobares,cinti,moroni,mallia,"bosch, f",gallo,bello,alemanno,gorrissen,garcia,miotti,"carreras, m"
06/11/2021,2021,ml,france,tour,yes,a,8,6,-2,,l,20,29,-9,gallo,montoya,gomez kodela,petti,lavanini,matera,kremer,isa,cubelli,"carreras, s","carreras, m",de la fuente,moroni,delguy,boffelli,"bosch, f",martinez,medrano,paulos,"gonzalez, ju",bertranou,sanchez,cinti
13/11/2021,2021,ml,italy,tour,yes,a,8,14,6,,w,37,16,21,gallo,montoya,gomez kodela,kremer,lavanini,matera,"gonzalez, ju",isa,cubelli,"carreras, s","carreras, m",de la fuente,moroni,"cordero, s",boffelli,"bosch, f",calles,medrano,paulos,"grondona, s",bertranou,sanchez,cinti
21/11/2021,2021,ml,ireland,tour,yes,a,8,4,-4,,l,7,53,-46,gallo,montoya,gomez kodela,petti,lavanini,"grondona, s",kremer,matera,cubelli,"carreras, s",cinti,de la fuente,moroni,"carreras, m",boffelli,"bosch, f",calles,bello,paulos,isa,bertranou,sanchez,"cordero, f"
02/07/2022,2022,mc,scotland,tour,yes,h,8,7,-1,,w,26,18,8,tetaz chaparro,montoya,gomez kodela,petti,alemanno,"gonzalez, ju",kremer,matera,bertranou,sanchez,boffelli,de la fuente,orlando,"cordero, s",mallia,creevy,vivas,sclavi,paulos,isa,imhoff,"carreras, s",moroni
09/07/2022,2022,mc,scotland,tour,yes,h,7,8,1,,l,6,29,-23,tetaz chaparro,montoya,gomez kodela,petti,alemanno,"gonzalez, ju",kremer,bruni,bertranou,"carreras, s",imhoff,de la fuente,orlando,"cordero, s",boffelli,creevy,vivas,sclavi,paulos,isa,"ezcurra, f",miotti,moroni
16/07/2022,2022,mc,scotland,tour,yes,h,9,7,-2,,w,34,31,3,gallo,creevy,sclavi,petti,lavanini,matera,"grondona, s",isa,bazan velez,"carreras, s",boffelli,moroni,orlando,delguy,mallia,ruiz,tetaz chaparro,gomez kodela,kremer,"gonzalez, ju",bertranou,albornoz,cinti
06/08/2022,2022,mc,australia,rc,yes,h,9,6,-3,,l,26,41,-15,tetaz chaparro,montoya,gomez kodela,alemanno,lavanini,"gonzalez, ju",kremer,matera,cubelli,"carreras, s",boffelli,de la fuente,orlando,"cordero, s",mallia,creevy,gallo,sclavi,"grondona, s",bruni,bazan velez,albornoz,moroni
13/08/2022,2022,mc,australia,rc,yes,h,9,6,-3,,w,48,17,31,gallo,montoya,gomez kodela,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",imhoff,de la fuente,moroni,boffelli,mallia,creevy,tetaz chaparro,sclavi,isa,bruni,cubelli,albornoz,cinti
27/08/2022,2022,mc,nz,rc,yes,a,9,4,-5,,w,25,18,7,gallo,montoya,sclavi,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",cinti,orlando,moroni,boffelli,mallia,"socino, s",vivas,bello,petti,"grondona, s",cubelli,albornoz,"cordero, s"
03/09/2022,2022,mc,nz,rc,yes,a,7,5,-2,,l,3,53,-50,gallo,montoya,sclavi,petti,lavanini,"grondona, s",kremer,matera,cubelli,"carreras, s","cordero, s",orlando,moroni,boffelli,mallia,"socino, s",vivas,bello,alemanno,"gonzalez, ju",bertranou,urdapilleta,cinti
17/09/2022,2022,mc,sa,rc,yes,h,6,3,-3,,l,20,36,-16,tetaz chaparro,montoya,bello,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",cinti,orlando,de la fuente,boffelli,mallia,creevy,gallo,sclavi,petti,bruni,cubelli,urdapilleta,moroni
24/09/2022,2022,mc,sa,rc,yes,a,8,3,-5,,l,21,38,-17,tetaz chaparro,montoya,bello,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",imhoff,de la fuente,moroni,boffelli,mallia,creevy,vivas,sclavi,petti,rubiolo,cubelli,urdapilleta,delguy
