date,year,opposition,h / a,eng irb,opp irb,irb difference,,higher/ lower,result,pts scored,pts conceded,difference,,tries scored,tries conceded,higher / lower,kick % success,eng cbs,opp cbs,higher / lower,eng dbs,opp dbs,higher / lower,eng off-loads,opp off-loads,higher / lower,eng kfh,opp kfh,higher / lower,eng penalties,opp penalties,higher / lower,coach,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
25/06/2016,2016,australia,a,2,4,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,itoje,kruis,robshaw,haskell,"vunipola, b","youngs, b",ford,nowell,farrell,joseph,watson,brown,george,mullan,hill,launchbury,lawes,clifford,care,daly
12/11/2016,2016,sa,h,2,4,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,launchbury,lawes,robshaw,wood,"vunipola, b","youngs, b",ford,may,farrell,daly,yarde,brown,george,marler,sinckler,atwood,hughes,care,te'o,joseph
19/11/2016,2016,fiji,h,2,10,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,launchbury,lawes,robshaw,harrison,"vunipola, b","youngs, b",ford,daly,farrell,joseph,rokoduguni,goode,george,marler,sinckler,ewels,hughes,care,te'o,slade
26/11/2016,2016,argentina,h,2,9,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,lawes,kruis,robshaw,wood,"vunipola, b","youngs, b",ford,daly,farrell,joseph,may,brown,george,marler,sinckler,ewels,harrison,care,te'o,slade
03/12/2016,2016,australia,h,2,3,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,lawes,kruis,robshaw,wood,hughes,"youngs, b",ford,may,farrell,joseph,yarde,brown,george,marler,sinckler,ewels,harrison,care,te'o,slade
04/02/2017,2017,france,h,2,8,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,hartley,cole,launchbury,lawes,itoje,wood,hughes,"youngs, b",ford,daly,farrell,joseph,may,brown,george,mullan,sinckler,harrison,haskell,care,te'o,nowell
11/02/2017,2017,wales,a,2,5,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,hartley,cole,launchbury,lawes,itoje,clifford,hughes,"youngs, b",ford,daly,farrell,joseph,nowell,brown,george,mullan,sinckler,wood,haskell,care,te'o,may
26/02/2017,2017,italy,h,2,14,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,hartley,cole,launchbury,lawes,itoje,haskell,hughes,care,ford,daly,farrell,te'o,may,brown,george,vunipola,sinckler,wood,clifford,youngs,slade,nowell
11/03/2017,2017,scotland,h,2,5,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,hartley,cole,launchbury,lawes,itoje,haskell,hughes,"youngs, b",ford,daly,farrell,joseph,nowell,brown,george,vunipola,sinckler,wood,vunipola,care,te'o,watson
18/03/2017,2017,ireland,a,2,4,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,hartley,cole,launchbury,lawes,itoje,haskell,"vunipola, b","youngs, b",ford,daly,farrell,joseph,watson,brown,george,vunipola,sinckler,wood,hughes,care,te'o,nowell
10/06/2017,2017,argentina,a,2,9,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,genge,hartley,williams,launchbury,ewels,wilson,"curry, t",hughes,care,ford,may,lozowski,slade,yarde,brown,singleton,mullan,collier,isiekwe,armand,maunder,francis,solomona
17/06/2017,2017,argentina,a,2,9,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,genge,hartley,williams,launchbury,ewels,robshaw,underhill,hughes,care,ford,may,francis,slade,yarde,brown,singleton,mullan,collier,isiekwe,wilson,maunder,lozowski,solomona
11/11/2017,2017,argentina,h,2,10,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,lawes,kruis,robshaw,underhill,hughes,"youngs, b",ford,daly,slade,joseph,watson,brown,george,genge,williams,launchbury,simmonds,care,lozowski,rokoduguni
18/11/2017,2017,australia,h,2,3,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,launchbury,lawes,robshaw,underhill,hughes,"youngs, b",ford,daly,farrell,joseph,may,watson,george,marler,williams,itoje,simmonds,care,slade,rokoduguni
25/11/2017,2017,samoa,h,2,16,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,genge,george,cole,launchbury,ewels,itoje,robshaw,simmonds,care,ford,daly,lozowski,slade,may,brown,hartley,marler,williams,isiekwe,lawes,youngs,francis,rokoduguni
04/02/2018,2018,italy,a,2,14,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,launchbury,itoje,lawes,robshaw,simmonds,"youngs, b",ford,may,farrell,te'o,watson,brown,george,hepburn,williams,kruis,underhill,care,joseph,nowell
10/02/2018,2018,wales,h,2,6,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,launchbury,itoje,lawes,robshaw,simmonds,care,ford,may,farrell,joseph,watson,brown,george,hepburn,williams,kruis,underhill,wigglesworth,te'o,nowell
24/02/2018,2018,scotland,a,2,7,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,launchbury,itoje,lawes,robshaw,hughes,care,ford,may,farrell,joseph,watson,brown,george,marler,williams,kruis,underhill,wigglesworth,te'o,nowell
10/03/2018,2018,france,a,2,10,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,cole,launchbury,itoje,lawes,robshaw,hughes,care,ford,daly,farrell,te'o,may,watson,cowan-dickie,marler,sinckler,haskell,simmonds,wigglesworth,joseph,brown
17/03/2018,2018,ireland,h,3,2,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,sinckler,itoje,kruis,robshaw,haskell,simmonds,wigglesworth,farrell,daly,te'o,joseph,may,watson,george,marler,cole,launchbury,armand,care,ford,brown
09/06/2018,2018,sa,a,3,7,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,isiekwe,robshaw,"curry, t","vunipola, b","youngs, b",ford,brown,farrell,slade,may,daly,cowan-dickie,marler,williams,"hill, j ",shields,spencer,francis,solomona
16/06/2018,2018,sa,a,4,7,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,launchbury,itoje,shields,"curry, t","vunipola, b","youngs, b",ford,brown,farrell,slade,may,daly,cowan-dickie,marler,williams,wilson,hughes,spencer,cipriani,solomona
23/06/2018,2018,sa,a,6,5,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,george,sinckler,launchbury,itoje,shields,"curry, t",hughes,"youngs, b",cipriani,brown,farrell,slade,may,daly,cowan-dickie,hepburn,williams,"hill, j ",wilson,simmonds,spencer,solomona
03/11/2018,2018,sa,h,4,5,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,hepburn,hartley,sinckler,itoje,kruis,shields,"curry, t",wilson,"youngs, b",farrell,may,te'o,slade,nowell,daly,george,moon,williams,ewels,mercer,care,ford,ashton
10/11/2018,2018,nz,h,4,1,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,moon,hartley,sinckler,itoje,kruis,shields,underhill,wilson,"youngs, b",farrell,may,te'o,slade,ashton,daly,george,hepburn,williams,ewels,lawes,care,ford,nowell
17/11/2018,2018,japan,h,4,11,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,hepburn,george,williams,ewels,itoje,lawes,wilson,mercer,care,ford,cokanasiga,lozowski,nowell,ashton,daly,hartley,moon,sinckler,"hill, t",underhill,wigglesworth,farrell,slade
24/11/2018,2018,australia,h,4,6,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,moon,george,sinckler,itoje,lawes,shields,underhill,wilson,"youngs, b",farrell,may,te'o,slade,cokanasiga,daly,hartley,hepburn,williams,ewels,hughes,wigglesworth,ford,tuilagi
02/02/2019,2019,ireland,a,4,2,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,itoje,kruis,wilson,"curry, t","vunipola, b","youngs, b",farrell,may,tuilagi,slade,nowell,daly,cowan-dickie,genge,williams,lawes,hughes,robson,ford,ashton
10/02/2019,2019,france,h,3,10,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",george,sinckler,lawes,kruis,wilson,"curry, t","vunipola, b","youngs, b",farrell,may,tuilagi,slade,ashton,daly,cowan-dickie,moon,cole,launchbury,hughes,robson,ford,nowell
23/02/2019,2019,wales,a,3,4,,,,l,,,,,,,,,,,,,,,,,,,,,,,,ej,,moon,george,sinckler,lawes,kruis,wilson,"curry, t","vunipola, b","youngs, b",farrell,may,tuilagi,slade,nowell,daly,cowan-dickie,genge,williams,launchbury,shields,robson,ford,cokanasiga
09/03/2019,2019,italy,h,4,14,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,genge,george,sinckler,launchbury,kruis,shields,"curry, t","vunipola, b","youngs, b",farrell,may,te'o,tuilagi,cokanasiga,daly,cowan-dickie,moon,cole,hughes,wilson,robson,ford,slade
16/03/2019,2019,scotland,h,4,7,,,,d,,,,,,,,,,,,,,,,,,,,,,,,ej,,moon,george,sinckler,launchbury,kruis,wilson,"curry, t","vunipola, b","youngs, b",farrell,may,tuilagi,slade,nowell,daly,cowan-dickie,genge,cole,shields,hughes,spencer,ford,te'o
11/08/2019,2019,wales,h,5,2,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,genge,cowan-dickie,cole,launchbury,ewels,ludlam,"curry, t","vunipola, b",heinz,ford,watson,francis,joseph,cokanasiga,daly,singleton,marler,williams,kruis,lawes,youngs,marchant,tuilagi
