url,match_id,competition,season,competition_name,match_date,team,home_away,home_score_FT,away_score_FT,home_score_HT,away_score_HT,possession_pct,Tries,Metres_Gained,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Tackles_Attempted,Missed_Tackles,Turnovers_Won,Kicks_In_Play,Conversions,Conversion_Accuracy,Penalty_Goals,Penalty_Goal_Accuracy,Drop_Goals,Drop_Goal_Accuracy,Rucks_Won,Rucks_Lost,Rucks_Won_Pct,Mauls_Won,Lineouts_Won,Lineouts_Lost,Lineouts_Won_Pct,Scrums_Won,Scrums_Lost,Scrums_Won_Pct,Penalties_Conceded,Red_Cards,Yellow_Cards
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914043&competitionId=209&seasonId=2014,914043,209,2014,Six Nations,,Wales,away,29,18,20,15,50.0%,0,430,127,24,6,130,10,19,131,26,8,31,0,-,6,100.0%,0,-,92,3,96.8%,2,12,2,85.7%,2,0,100.0%,10,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914033&competitionId=209&seasonId=2014,914033,209,2014,Six Nations,,England,home,13,10,3,0,41.0%,1,424,107,23,5,124,9,13,163,24,8,20,1,100.0%,3,66.7%,0,0,72,7,91.1%,6,8,0,100.0%,5,4,55.6%,10,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914033&competitionId=209&seasonId=2014,914033,209,2014,Six Nations,,Ireland,away,13,10,3,0,59.0%,1,364,122,24,3,192,4,17,117,23,11,24,1,100.0%,1,100.0%,1,0,101,7,93.5%,7,16,0,100.0%,9,0,100.0%,9,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914022&competitionId=209&seasonId=2014,914022,209,2014,Six Nations,,Scotland,home,0,20,0,13,42.0%,0,201,86,11,3,78,6,12,127,27,6,26,0,-,2,0.0%,0,0,73,2,97.3%,1,7,5,58.3%,5,0,100.0%,16,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914022&competitionId=209&seasonId=2014,914022,209,2014,Six Nations,,England,away,0,20,0,13,58.0%,2,434,118,27,10,151,11,14,100,11,4,25,2,100.0%,4,25.0%,1,0,81,4,95.3%,13,22,2,91.7%,6,0,100.0%,7,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914012&competitionId=209&seasonId=2014,914012,209,2014,Six Nations,,France,home,26,24,16,8,41.0%,3,460,116,26,10,130,17,23,151,27,10,37,3,33.3%,3,100.0%,0,0,70,4,94.6%,3,10,1,90.9%,7,0,100.0%,4,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914012&competitionId=209&seasonId=2014,914012,209,2014,Six Nations,,England,away,26,24,16,8,59.0%,2,645,150,28,8,169,15,21,116,26,9,34,2,50.0%,3,100.0%,2,0,109,6,94.8%,5,13,2,86.7%,3,2,60.0%,8,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7417&competitionId=3&seasonId=2014,7417,3,2014,International,,England,home,22,30,16,20,62.0%,1,371,135,16,0,154,9,16,87,10,9,26,1,100.0%,5,100.0%,0,-,107,11,90.7%,5,14,3,82.4%,5,1,83.3%,9,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7417&competitionId=3&seasonId=2014,7417,3,2014,International,,N Zealand,away,22,30,16,20,38.0%,3,329,92,10,5,128,12,13,152,16,7,29,3,100.0%,4,75.0%,0,-,60,2,96.8%,2,10,0,100.0%,3,2,60.0%,12,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7407&competitionId=3&seasonId=2014,7407,3,2014,International,,England,home,31,12,24,6,47.0%,4,412,116,12,3,156,14,11,156,17,6,25,4,100.0%,2,50.0%,0,-,66,6,91.7%,6,16,3,84.2%,4,1,80.0%,11,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7407&competitionId=3&seasonId=2014,7407,3,2014,International,,Argentina,away,31,12,24,6,53.0%,0,308,129,17,2,129,11,11,110,12,4,31,0,-,6,66.7%,0,-,96,7,93.2%,3,8,1,88.9%,3,0,100.0%,13,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7401&competitionId=3&seasonId=2014,7401,3,2014,International,,England,home,20,13,6,13,52.0%,2,368,102,20,3,103,7,14,95,13,7,31,2,100.0%,5,40.0%,0,-,71,4,94.7%,5,10,3,76.9%,6,1,85.7%,9,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7401&competitionId=3&seasonId=2014,7401,3,2014,International,,Australia,away,20,13,6,13,48.0%,1,301,87,13,4,103,1,17,105,20,5,32,1,100.0%,4,50.0%,0,-,67,4,94.4%,5,10,1,90.9%,7,2,77.8%,12,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=6082&competitionId=3&seasonId=2013,6082,3,2013,International,,Argentina,home,26,51,12,25,59.0%,2,227,137,8,1,115,8,15,92,25,8,21,2,100.0%,4,100.0%,0,-,113,5,95.8%,2,8,1,88.9%,3,2,60.0%,12,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=6082&competitionId=3&seasonId=2013,6082,3,2013,International,,England,away,26,51,12,25,41.0%,5,428,91,25,9,119,9,13,173,8,7,20,7,71.4%,3,66.7%,0,-,55,5,91.7%,6,13,0,100.0%,7,2,77.8%,8,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=6078&competitionId=3&seasonId=2013,6078,3,2013,International,,Argentina,home,3,32,3,25,57.0%,0,221,98,12,0,105,8,16,85,28,5,14,0,-,4,25.0%,0,-,81,4,95.3%,4,10,9,52.6%,10,1,90.9%,7,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=6078&competitionId=3&seasonId=2013,6078,3,2013,International,,England,away,3,32,3,25,43.0%,4,703,115,28,12,147,24,11,116,12,4,19,4,75.0%,2,100.0%,0,-,55,4,93.2%,1,8,2,80.0%,6,2,75.0%,15,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913052&competitionId=209&seasonId=2013,913052,209,2013,Six Nations,,Wales,home,30,3,9,3,63.0%,2,406,144,23,8,125,7,16,97,11,6,26,2,50.0%,5,100.0%,2,0,119,5,96.0%,5,11,1,91.7%,8,1,88.9%,7,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913052&competitionId=209&seasonId=2013,913052,209,2013,Six Nations,,England,away,30,3,9,3,37.0%,0,417,98,11,3,117,8,19,165,23,6,24,0,-,3,33.3%,0,0,69,4,94.5%,2,5,1,83.3%,1,3,25.0%,12,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913043&competitionId=209&seasonId=2013,913043,209,2013,Six Nations,,England,home,18,11,12,3,50.0%,0,298,100,11,2,135,11,17,144,11,8,21,0,-,6,100.0%,0,-,78,5,94.0%,5,13,1,92.9%,8,1,88.9%,5,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913043&competitionId=209&seasonId=2013,913043,209,2013,Six Nations,,Italy,away,18,11,12,3,50.0%,1,344,111,11,4,141,7,16,124,11,5,20,1,0.0%,3,66.7%,0,-,91,9,91.0%,3,7,2,77.8%,7,0,100.0%,15,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913032&competitionId=209&seasonId=2013,913032,209,2013,Six Nations,,England,home,23,13,9,10,52.0%,1,299,98,12,2,124,5,11,118,20,0,33,1,0.0%,7,85.7%,0,-,80,5,94.1%,7,14,3,82.4%,5,2,71.4%,13,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913032&competitionId=209&seasonId=2013,913032,209,2013,Six Nations,,France,away,23,13,9,10,48.0%,1,335,100,20,3,126,12,18,110,12,0,30,1,100.0%,4,50.0%,0,-,76,4,95.0%,9,11,1,91.7%,5,1,83.3%,12,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913023&competitionId=209&seasonId=2013,913023,209,2013,Six Nations,,Ireland,home,6,12,0,6,58.0%,0,221,85,13,2,88,1,15,71,3,0,32,0,-,3,66.7%,0,-,72,4,94.7%,8,15,3,83.3%,4,0,100.0%,11,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913023&competitionId=209&seasonId=2013,913023,209,2013,Six Nations,,England,away,6,12,0,6,42.0%,0,178,58,3,0,61,1,6,118,13,0,40,0,-,6,66.7%,0,-,46,3,93.9%,4,9,4,69.2%,7,3,70.0%,14,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913012&competitionId=209&seasonId=2013,913012,209,2013,Six Nations,,England,home,38,18,19,11,62.0%,4,655,153,22,12,221,18,20,82,13,0,21,4,75.0%,4,100.0%,0,-,102,7,93.6%,0,11,2,84.6%,5,1,83.3%,6,0,0
