player_name,slug,url,position,caps,age,height_cm,weight_kg,career_mins,avg_mins_per_game,england_wins,england_draws,england_losses,status
Jack Maunder,jack-maunder,https://www.englandrugby.com/follow/england-men/senior-men/jack-maunder,,,,,,,,,,,not_found
Sam James,sam-james,https://www.englandrugby.com/follow/england-men/senior-men/sam-james,,,,,,,,,,,not_found
Nathan Earle,nathan-earle,https://www.englandrugby.com/follow/england-men/senior-men/nathan-earle,,,,,,,,,,,not_found
Ross Harrison,ross-harrison,https://www.englandrugby.com/follow/england-men/senior-men/ross-harrison,,,,,,,,,,,not_found
Jamal Ford-Robinson,jamal-ford-robinson,https://www.englandrugby.com/follow/england-men/senior-men/jamal-ford-robinson,,,,,,,,,,,not_found
Will Spencer,will-spencer,https://www.englandrugby.com/follow/england-men/senior-men/will-spencer,,,,,,,,,,,not_found
Mike Haley,mike-haley,https://www.englandrugby.com/follow/england-men/senior-men/mike-haley,,,,,,,,,,,not_found
Tom Wood,tom-wood,https://www.englandrugby.com/follow/england-men/senior-men/tom-wood,,,,,,,,,,,not_found
Jack Clifford,jack-clifford,https://www.englandrugby.com/follow/england-men/senior-men/jack-clifford,,,,,,,,,,,not_found
Teimana Harrison,teimana-harrison,https://www.englandrugby.com/follow/england-men/senior-men/teimana-harrison,,,,,,,,,,,not_found
Alex Goode,alex-goode,https://www.englandrugby.com/follow/england-men/senior-men/alex-goode,,,,,,,,,,,not_found
Dave Attwood,dave-attwood,https://www.englandrugby.com/follow/england-men/senior-men/dave-attwood,,,,,,,,,,,not_found
Paul Hill,paul-hill,https://www.englandrugby.com/follow/england-men/senior-men/paul-hill,,,,,,,,,,,not_found
Luther Burrell,luther-burrell,https://www.englandrugby.com/follow/england-men/senior-men/luther-burrell,,,,,,,,,,,not_found
Tommy Taylor,tommy-taylor,https://www.englandrugby.com/follow/england-men/senior-men/tommy-taylor,,,,,,,,,,,not_found
