url,match_id,competition,season,team,home_away,player,Tries,Metres,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Turnovers_Won,Points
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Smith,2,148,17,7,4,19,2,,1,10
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Arundell,5,89,9,1,6,2,,1,,25
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Daly,,54,6,1,1,9,1,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Lawrence,,42,10,8,1,6,1,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Malins,,66,8,,1,10,1,6,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Farrell,,46,8,1,,33,1,,1,16
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Care,,11,4,,,50,,1,1,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Vunipola,,22,5,,,12,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Willis,1,31,7,2,1,8,1,,,5
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Ludlam,,46,6,1,1,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Martin,,14,9,2,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Ribbans,,8,8,1,,7,1,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Sinckler,,11,8,,,1,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Dan,2,28,8,1,,3,,,1,10
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Rodd,1,7,4,1,,1,,,,5
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Walker,,9,3,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Marler,,2,3,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Stuart,,,1,,,1,,,1,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Chessum,,15,2,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Earl,,36,5,2,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Youngs,,,,,,21,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Ford,,,1,,,14,,,1,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,home,Marchant,,,,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Urroz,,13,4,,,6,,2,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Game,,52,9,3,1,,,5,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Saavedra,,19,6,,,2,1,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Garafulic,,11,5,5,,6,1,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Velarde,,21,2,1,,1,,1,,
